"Chasetown Memorial Park","High Street,<br />Chasetown<br /><br /><strong>Facilities:</strong><br /><ul> <li>Crown Bowling Green</li></ul>
<a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=981'>More information...</a>",-1.934100,52.671799
"Chase View Park","Rochester Avenue,<br />Burntwood<br /><br /><strong>Facilities:</strong><ul><li>Playing fields</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=980'>More information...</a>",-1.924600,52.683800
"Chasewater Country Park","Pool Road,<br />Brownhills,<br />Walsall<br /><br /><strong>Facilities:</strong><ul><li>Watersports</li><li>Fishing</li><li>Crazy Golf</li><li>Play area</li></ul><a href='http://www.lichfielddc.gov.uk/chasewater'>More information...</a>",-1.946640,52.674717
"Chase Terrace Park","Eastgate Street, <br />Chase Terrace<br /> (including the Mineral Railway)<br /><br /><strong>Facilities:</strong><ul> <li>Crown green bowls</li><li>Play Area</li><li>Large spaces for children to play in</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=979'>More information...</a>",-1.939600,52.686699
"Burntwood Park","Elder Lane,<br />Burntwood<br /><br /><strong>Facilities:</strong><ul> <li>Formal Bedding</li> <li>Five-a-side Area</li> <li>Play Equipment</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=976'>More information...</a>",-1.910900,52.679901
"Stychbrook Park","Eastern Avenue,<br />Lichfield<br /><br /><strong>Facilities:</strong><ul><li>Football Pitch</li><li>Changing Facilities</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=988'>More information...</a>",-1.825800,52.700199
"Stowe Fields","Cross Keys,<br />Lichfield<br /><br /><strong>Facilities:</strong><ul><li>Children's Play Area</li><li>Large reservoir for angling</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=1292'>More information...</a>",-1.827464,52.686630
"Shortbutts Park","Shortbutts Lane,<br />Lichfield<br /><br /><strong>Facilities:</strong><br /><ul><li>Football Pitches </li><li>Play Area</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=987'>More information...</a>",-1.829500,52.671902
"Saddlers' Wood","Roman Way,<br />Lichfield<br /><br /><strong>Facilities:</strong><ul><li>Basketball Court</li><li>Play Area </li><li>Large Expanse of trees and grass </li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=986'>More information...</a>",-1.812600,52.681198
"Darnford Park","Darnford Lane,<br />Lichfield<br /><br /><strong>Facilities:</strong><ul><li>Trim Trail</li><li>Play Area</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=983'>More information...</a>",-1.798000,52.680000
"Brownsfield Park","Eastern Avenue,<br />Lichfield<br /><br /><strong>Facilities:</strong><ul><li>Football Pitches</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=975'>More information...</a>",-1.813600,52.693199
"Christian Fields","Eastern Avenue,<br />Lichfield<br /><br /><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=982'>More information...</a>",-1.835900,52.697498
"Beacon Park","Beacon Street,<br />Lichfield<br /><br /><strong>Facilities:</strong><ul> <li>Golf</li><li>Crazy golf</li><li>Basketball court</li><li>Tennis courts</li><li>Bowling green</li><li>Formal gardens</li><li>Football pitches</li><li>Snack bar (during peak season)</li></ul><a href='http://www.lichfielddc.gov.uk/beaconpark'>More information...</a>",-1.832800,52.683498
"Prince's Park (The UK's smallest park!)","Farewell Lane,<br />Burntwood<br /><br /><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=984'>More information...</a>",-1.897500,52.675701
"Redwood Park","Redwood Drive,<br /> Burntwood<br /><br /><strong>Facilities:</strong><ul> <li>Football Pitches</li> <li>Play Area</li> <li>Pavillion</li></ul><a href='http://www.lichfielddc.gov.uk/site/scripts/documents_info.php?documentID=985'>More information...</a>",-1.928700,52.684898